"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)"
0,5.945343017578125,9.0771560668945312
0.10000000000000001,6.4001312255859375,
0.20000000000000001,6.78338623046875,
0.29999999999999999,6.607086181640625,
0.40000000000000002,6.3515853881835938,
0.5,5.9402313232421875,
0.59999999999999998,5.4036865234375,
0.69999999999999996,4.9642257690429688,
0.80000000000000004,4.675506591796875,
0.90000000000000002,4.4762191772460938,
1,4.3689117431640625,
1.1000000000000001,4.3229217529296875,
1.2,4.2692642211914062,
1.3,4.20794677734375,
1.3999999999999999,4.1568450927734375,
1.5,4.1261825561523438,
1.6000000000000001,4.115966796875,
1.7,4.0929718017578125,
1.8,4.0290908813476562,
1.8999999999999999,3.9754409790039062,
2,3.9626617431640625,
2.1000000000000001,3.9754409790039062,
2.2000000000000002,3.9882125854492188,
2.2999999999999998,3.9907684326171875,
2.3999999999999999,3.9933242797851562,
2.5,4.0009918212890625,
2.6000000000000001,4.0112075805664062,
2.7000000000000002,4.0342025756835938,
2.7999999999999998,4.0495376586914062,
2.8999999999999999,4.0214309692382812,
3,3.98565673828125,
3.1000000000000001,3.98565673828125,
3.2000000000000002,3.9984359741210938,
3.2999999999999998,4.02398681640625,
3.3999999999999999,4.0546417236328125,
3.5,4.0725326538085938,
3.6000000000000001,4.0929718017578125,
3.7000000000000002,4.1108551025390625,
3.7999999999999998,4.123626708984375,
3.8999999999999999,4.13385009765625,
4,4.115966796875,
4.0999999999999996,4.0750808715820312,
4.2000000000000002,4.0520858764648438,
4.2999999999999998,4.0469818115234375,
4.4000000000000004,4.0520858764648438,
4.5,4.05975341796875,
4.5999999999999996,4.087860107421875,
4.7000000000000002,4.225830078125,
4.7999999999999998,4.4966583251953125,
4.9000000000000004,4.841583251953125,
5,5.2529373168945312,
5.0999999999999996,5.7026214599609375,
5.2000000000000002,6.1548538208007812,
5.2999999999999998,6.5687637329101562,
5.4000000000000004,6.9111328125,
5.5,7.279052734375,
5.5999999999999996,7.6878509521484375,
5.7000000000000002,8.0072250366210938,
5.7999999999999998,8.2985000610351562,
5.9000000000000004,8.5821075439453125,
6,8.69708251953125,
6.0999999999999996,8.7379608154296875,
6.2000000000000002,8.8938140869140625,
6.2999999999999998,9.0317840576171875,
6.4000000000000004,8.9423599243164062,
6.5,8.704742431640625,
6.5999999999999996,8.3777008056640625,
6.7000000000000002,7.88714599609375,
6.7999999999999998,7.2739410400390625,
6.9000000000000004,6.6862945556640625,
7,6.1957321166992188,
7.0999999999999996,5.7486114501953125,
7.2000000000000002,5.301483154296875,
7.2999999999999998,4.933563232421875,
7.4000000000000004,4.6780624389648438,
7.5,4.5068817138671875,
7.5999999999999996,4.3740158081054688,
7.7000000000000002,4.2692642211914062,
7.7999999999999998,4.1823959350585938,
7.9000000000000004,4.1108551025390625,
8,4.0674209594726562,
8.0999999999999996,4.0060958862304688,
8.1999999999999993,3.9141159057617188,
8.3000000000000007,3.8527984619140625,
8.4000000000000004,3.8374710083007812,
8.5,3.8527984619140625,
8.5999999999999996,3.8681259155273438,
8.6999999999999993,3.87579345703125,
8.8000000000000007,3.8885726928710938,
8.9000000000000004,3.9115676879882812,
9,3.9294509887695312,
9.0999999999999996,3.9473342895507812,
9.1999999999999993,3.9371109008789062,
9.3000000000000007,3.9115676879882812,
9.4000000000000004,3.903900146484375,
9.5,3.9192276000976562,
9.5999999999999996,3.9447784423828125,
9.6999999999999993,3.977996826171875,
9.8000000000000007,4.0035476684570312,
9.9000000000000004,4.0086517333984375,
10,4.013763427734375,9.132420539855957
10.1,4.0265426635742188,
10.199999999999999,4.0393142700195312,
10.300000000000001,4.0086517333984375,
10.4,3.9575576782226562,
10.5,3.9320068359375,
10.6,3.9268951416015625,
10.699999999999999,3.9371109008789062,
10.800000000000001,3.9550018310546875,
10.9,3.9626617431640625,
11,3.9754409790039062,
11.1,4.0163192749023438,
11.199999999999999,4.1440658569335938,
11.300000000000001,4.4225616455078125,
11.4,4.7930374145507812,
11.5,5.181396484375,
11.6,5.5825347900390625,
11.699999999999999,5.9862213134765625,
11.800000000000001,6.4946670532226562,
11.9,7.059326171875,
12,7.4962310791015625,
12.1,7.8309326171875,
12.199999999999999,8.1222000122070312,
12.300000000000001,8.2014083862304688,
12.4,7.8845901489257812,
12.5,7.4834518432617188,
12.6,7.3122711181640625,
12.699999999999999,7.2739410400390625,
12.800000000000001,7.2586135864257812,
12.9,7.2381744384765625,
13,7.1538619995117188,
13.1,6.9520111083984375,
13.199999999999999,6.7118453979492188,
13.300000000000001,6.543212890625,
13.4,6.3439254760742188,
13.5,6.1063079833984375,
13.6,5.8865814208984375,
13.699999999999999,5.5697555541992188,
13.800000000000001,5.2146148681640625,
13.9,4.897796630859375,
14,4.621856689453125,
14.1,4.4225616455078125,
14.199999999999999,4.2922592163085938,
14.300000000000001,4.2181625366210938,
14.4,4.1440658569335938,
14.5,4.0418701171875,
14.6,3.977996826171875,
14.699999999999999,3.9626617431640625,
14.800000000000001,3.9626617431640625,
14.9,3.9805526733398438,
15,3.9984359741210938,
15.1,3.9984359741210938,
15.199999999999999,3.9933242797851562,
15.300000000000001,3.9984359741210938,
15.4,4.02398681640625,
15.5,4.0495376586914062,
15.6,4.0188751220703125,
15.699999999999999,3.9575576782226562,
15.800000000000001,3.9345626831054688,
15.9,3.94989013671875,
16,3.9831008911132812,
16.100000000000001,4.0188751220703125,
16.199999999999999,4.0571975708007812,
16.300000000000001,4.1261825561523438,
16.399999999999999,4.2105026245117188,
16.5,4.2769317626953125,
16.600000000000001,4.3484725952148438,
16.699999999999999,4.4813308715820312,
16.800000000000001,4.7444915771484375,
16.899999999999999,5.0510940551757812,
17,5.3423614501953125,
17.100000000000001,5.6387405395507812,
17.199999999999999,5.9402313232421875,
17.300000000000001,6.2647171020507812,
17.399999999999999,6.5968704223632812,
17.5,6.9264602661132812,
17.600000000000001,7.2126235961914062,
17.699999999999999,7.4425735473632812,
17.800000000000001,7.6239776611328125,
17.899999999999999,7.7261810302734375,
18,7.859039306640625,
18.100000000000001,8.0404434204101562,
18.199999999999999,8.1554183959960938,
18.300000000000001,8.2065200805664062,
18.399999999999999,8.078765869140625,
18.5,7.70318603515625,
18.600000000000001,7.2458419799804688,
18.699999999999999,6.8140411376953125,
18.800000000000001,6.4486770629882812,
18.899999999999999,6.1420822143554688,
19,5.853363037109375,
19.100000000000001,5.5672073364257812,
19.199999999999999,5.2963714599609375,
19.300000000000001,5.0689773559570312,
19.399999999999999,4.8671340942382812,
19.5,4.657623291015625,
19.600000000000001,4.4634475708007812,
19.699999999999999,4.271820068359375,
19.800000000000001,4.105743408203125,
19.899999999999999,4.0035476684570312,
