"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)"
0,4.2564926147460938,9.8360652923583984
0.0625,5.1021957397460938,
0.125,6.0245513916015625,
0.1875,6.19317626953125,
0.25,6.387359619140625,
0.3125,6.5815353393554688,
0.375,6.74505615234375,
0.4375,6.8600311279296875,
0.5,6.9699020385742188,
0.5625,7.0644302368164062,
0.625,7.18707275390625,
0.6875,7.3275985717773438,
0.75,7.4579010009765625,
0.8125,7.5856552124023438,
0.875,7.7338409423828125,
0.9375,7.894805908203125,
1,8.0557708740234375,
1.0625,8.1273117065429688,
1.125,8.2065200805664062,
1.1875,8.3240509033203125,
1.25,8.4339141845703125,
1.3125,8.4824600219726562,
1.375,8.47479248046875,
1.4375,8.4620208740234375,
1.5,8.4696807861328125,
1.5625,8.4620208740234375,
1.625,8.51312255859375,
1.6875,8.6434249877929688,
1.75,8.7072982788085938,
1.8125,8.6740875244140625,
1.875,8.6076507568359375,
1.9375,8.5284500122070312,
2,8.3623733520507812,
2.0625,8.2039642333984375,
2.125,8.0302200317382812,
2.1875,7.8360443115234375,
2.25,7.6214218139648438,
2.3125,7.4246902465820312,
2.375,7.2637252807617188,
2.4375,7.1104202270507812,
2.5,6.8958053588867188,
2.5625,6.7195053100585938,
2.625,6.5278854370117188,
2.6875,6.3388137817382812,
2.75,6.1522979736328125,
2.8125,5.9683380126953125,
2.875,5.7997055053710938,
2.9375,5.64129638671875,
3,5.4368972778320312,
3.0625,5.27337646484375,
3.125,5.0689773559570312,
3.1875,4.8466949462890625,
3.25,4.6422958374023438,
3.3125,4.4634475708007812,
3.375,4.3126983642578125,
3.4375,4.1875076293945312,
3.5,4.0801925659179688,
3.5625,3.921783447265625,
3.625,3.7863693237304688,
3.6875,3.65606689453125,
3.75,3.553863525390625,
3.8125,3.4772109985351562,
3.875,3.405670166015625,
3.9375,3.334136962890625,
4,3.2753677368164062,
4.0625,3.2242660522460938,
4.125,3.1910552978515625,
4.1875,3.1527252197265625,
4.25,3.1195144653320312,
4.3125,3.06585693359375,
4.375,2.9789886474609375,
4.4375,2.9074478149414062,
4.5,2.8716812133789062,
4.5625,2.8486862182617188,
4.625,2.8384628295898438,
4.6875,2.8384628295898438,
4.75,2.8333511352539062,
4.8125,2.8256912231445312,
4.875,2.8205795288085938,
4.9375,2.8205795288085938,
5,2.8256912231445312,
5.0625,2.835906982421875,
5.125,2.84613037109375,
5.1875,2.8614578247070312,
5.25,2.8767852783203125,
5.3125,2.8895645141601562,
5.375,2.8997802734375,
5.4375,2.9125595092773438,
5.5,2.9253311157226562,
5.5625,2.8997802734375,
5.625,2.8614578247070312,
5.6875,2.84613037109375,
5.75,2.8589019775390625,
5.8125,2.8844528198242188,
5.875,2.9074478149414062,
5.9375,2.9329986572265625,
6,2.95599365234375,
6.0625,2.9713211059570312,
6.125,2.984100341796875,
6.1875,2.9994277954101562,
6.25,3.0096511840820312,
6.3125,3.0173110961914062,
6.375,3.0224227905273438,
6.4375,3.019866943359375,
6.5,3.0249786376953125,
6.5625,3.0403060913085938,
6.625,3.0454177856445312,
6.6875,3.0326461791992188,
6.75,3.001983642578125,
6.8125,2.9764328002929688,
6.875,2.966217041015625,
6.9375,2.9636611938476562,
7,2.966217041015625,
7.0625,2.9687652587890625,
7.125,2.99176025390625,
7.1875,3.0070953369140625,
7.25,3.0173110961914062,
7.3125,3.0275344848632812,
7.375,3.0403060913085938,
7.4375,3.058197021484375,
7.5,3.083740234375,
7.5625,3.1246261596679688,
7.625,3.2089385986328125,
7.6875,3.295806884765625,
7.75,3.39801025390625,
7.8125,3.5206527709960938,
7.875,3.6254043579101562,
7.9375,3.69183349609375,
8,3.7735977172851562,
8.0625,3.8911209106445312,
8.125,4.0801925659179688,
8.1875,4.2386016845703125,
8.25,4.4021224975585938,
8.3125,4.565643310546875,
8.375,4.7393875122070312,
8.4375,4.9105682373046875,
8.5,5.0792007446289062,
8.5625,5.2554931640625,
8.625,5.4752273559570312,
8.6875,5.6259689331054688,
8.75,5.7869338989257812,
8.8125,5.9683380126953125,
8.875,6.1599655151367188,
8.9375,6.3260421752929688,
9,6.433349609375,
9.0625,6.5100021362304688,
9.125,6.6684112548828125,
9.1875,6.81915283203125,
9.25,6.9647903442382812,
9.3125,7.0976486206054688,
9.375,7.2407302856445312,
9.4375,7.4068069458007812,
9.5,7.5626602172851562,
9.5625,7.6801910400390625,
9.625,7.7900543212890625,
9.6875,7.8743667602539062,
9.75,7.9586868286132812,
9.8125,8.0506668090820312,
9.875,8.1579742431640625,
9.9375,8.2601699829101562,
10,8.336822509765625,8.5470085144042969
10.0625,8.3828125,
10.125,8.3879241943359375,
10.1875,8.3802566528320312,
10.25,8.3521499633789062,
10.3125,8.2806167602539062,
10.375,8.18096923828125,
10.4375,8.0941009521484375,
10.5,8.042999267578125,
10.5625,8.0097808837890625,
10.625,7.9637908935546875,
10.6875,7.8156051635742188,
10.75,7.6597518920898438,
10.8125,7.5013351440429688,
10.875,7.3531494140625,
10.9375,7.2126235961914062,
11,7.066986083984375,
11.0625,6.8983612060546875,
11.125,6.7144012451171875,
11.1875,6.4486770629882812,
11.25,6.2468338012695312,
11.3125,6.055206298828125,
11.375,5.8865814208984375,
11.4375,5.7281723022460938,
11.5,5.5672073364257812,
11.5625,5.4087905883789062,
11.625,5.2606048583984375,
11.6875,5.071533203125,
11.75,4.9233474731445312,
11.8125,4.7393875122070312,
11.875,4.5247650146484375,
11.9375,4.3331375122070312,
12,4.1772842407226562,
12.0625,4.0367584228515625,
12.125,3.8987884521484375,
12.1875,3.7250518798828125,
12.25,3.610076904296875,
12.3125,3.5104293823242188,
12.375,3.4363327026367188,
12.4375,3.380126953125,
12.5,3.334136962890625,
12.5625,3.3009185791015625,
12.625,3.2702560424804688,
12.6875,3.21405029296875,
12.75,3.1833877563476562,
12.8125,3.168060302734375,
12.875,3.1527252197265625,
12.9375,3.1348419189453125,
13,3.1067352294921875,
13.0625,3.0403060913085938,
13.125,2.9713211059570312,
13.1875,2.92022705078125,
13.25,2.8997802734375,
13.3125,2.8895645141601562,
13.375,2.8946762084960938,
13.4375,2.9074478149414062,
13.5,2.92022705078125,
13.5625,2.927886962890625,
13.625,2.9355545043945312,
13.6875,2.9483261108398438,
13.75,2.9534378051757812,
13.8125,2.9585494995117188,
13.875,2.9687652587890625,
13.9375,2.9764328002929688,
14,2.9815444946289062,
14.0625,2.9866561889648438,
14.125,2.9892120361328125,
14.1875,2.99176025390625,
14.25,2.9687652587890625,
14.3125,2.9329986572265625,
14.375,2.9048919677734375,
14.4375,2.88189697265625,
14.5,2.8767852783203125,
14.5625,2.8844528198242188,
14.625,2.892120361328125,
14.6875,2.9048919677734375,
14.75,2.9253311157226562,
14.8125,2.9381103515625,
14.875,2.9483261108398438,
14.9375,2.9534378051757812,
15,2.9611053466796875,
15.0625,2.9713211059570312,
15.125,2.9764328002929688,
15.1875,2.984100341796875,
15.25,2.9968719482421875,
15.3125,3.0070953369140625,
15.375,3.0147552490234375,
15.4375,2.9968719482421875,
15.5,2.966217041015625,
15.5625,2.945770263671875,
15.625,2.9381103515625,
15.6875,2.9381103515625,
15.75,2.9432220458984375,
15.8125,2.95599365234375,
15.875,2.9687652587890625,
15.9375,2.9815444946289062,
16,2.9892120361328125,
16.0625,2.9943161010742188,
16.125,2.9994277954101562,
16.1875,3.0045394897460938,
16.25,3.0147552490234375,
16.3125,3.019866943359375,
16.375,3.019866943359375,
16.4375,3.0224227905273438,
16.5,3.0352020263671875,
16.5625,3.0454177856445312,
16.625,3.0326461791992188,
16.6875,2.9994277954101562,
16.75,2.9687652587890625,
16.8125,2.9687652587890625,
16.875,2.9866561889648438,
16.9375,3.0045394897460938,
17,3.0147552490234375,
17.0625,3.0224227905273438,
17.125,3.0275344848632812,
17.1875,3.0326461791992188,
17.25,3.037750244140625,
17.3125,3.0479736328125,
17.375,3.0633010864257812,
17.4375,3.083740234375,
17.5,3.111846923828125,
17.5625,3.1578369140625,
17.625,3.2396011352539062,
17.6875,3.3571319580078125,
17.75,3.5002059936523438,
17.8125,3.7327117919921875,
17.875,3.9422225952148438,
17.9375,4.161956787109375,
18,4.3842391967773438,
18.0625,4.61163330078125,
18.125,4.8083724975585938,
18.1875,4.97955322265625,
18.25,5.1405181884765625,
18.3125,5.3372573852539062,
18.375,5.4803314208984375,
18.4375,5.6310806274414062,
18.5,5.7843780517578125,
18.5625,5.945343017578125,
18.625,6.1318588256835938,
18.6875,6.3515853881835938,
18.75,6.5764312744140625,
18.8125,6.7629470825195312,
18.875,6.81915283203125,
18.9375,6.8881378173828125,
19,6.9980010986328125,
19.0625,7.141082763671875,
19.125,7.2867202758789062,
19.1875,7.399139404296875,
19.25,7.5013351440429688,
19.3125,7.6827468872070312,
19.375,7.8002700805664062,
19.4375,7.7977218627929688,
19.5,7.6597518920898438,
19.5625,7.5319976806640625,
19.625,7.5141143798828125,
19.6875,7.5319976806640625,
19.75,7.4936752319335938,
19.8125,7.4323501586914062,
19.875,7.42724609375,
19.9375,7.4144668579101562,
20,7.3557052612304688,6.912442684173584
20.0625,7.2177352905273438,
20.125,7.0465469360351562,
20.1875,6.9136886596679688,
20.25,6.7936019897460938,
20.3125,6.6121978759765625,
20.375,6.479339599609375,
20.4375,6.3745803833007812,
20.5,6.2800521850585938,
20.5625,6.17529296875,
20.625,6.037322998046875,
20.6875,5.8508071899414062,
20.75,5.651519775390625,
20.8125,5.4241256713867188,
20.875,5.2784881591796875,
20.9375,5.1481857299804688,
21,5.0204315185546875,
21.0625,4.8901290893554688,
21.125,4.7547149658203125,
21.1875,4.6193008422851562,
21.25,4.50177001953125,
21.3125,4.3305816650390625,
21.375,4.197723388671875,
21.4375,4.0674209594726562,
21.5,3.9320068359375,
21.5625,3.794036865234375,
21.625,3.6688385009765625,
21.6875,3.5615310668945312,
21.75,3.4644393920898438,
21.8125,3.3469085693359375,
21.875,3.1833877563476562,
21.9375,3.1016311645507812,
22,3.0326461791992188,
22.0625,2.984100341796875,
22.125,2.9611053466796875,
22.1875,2.9432220458984375,
22.25,2.9253311157226562,
22.3125,2.9074478149414062,
22.375,2.88189697265625,
22.4375,2.88189697265625,
22.5,2.8844528198242188,
22.5625,2.8793411254882812,
22.625,2.8767852783203125,
22.6875,2.8767852783203125,
22.75,2.8870086669921875,
22.8125,2.8997802734375,
22.875,2.9074478149414062,
22.9375,2.910003662109375,
23,2.88189697265625,
23.0625,2.835906982421875,
23.125,2.80780029296875,
23.1875,2.7975845336914062,
23.25,2.800140380859375,
23.3125,2.80780029296875,
23.375,2.8307952880859375,
23.4375,2.8486862182617188,
23.5,2.864013671875,
23.5625,2.8716812133789062,
23.625,2.88189697265625,
23.6875,2.892120361328125,
23.75,2.8972320556640625,
23.8125,2.8972320556640625,
23.875,2.9023361206054688,
23.9375,2.910003662109375,
24,2.9176712036132812,
24.0625,2.9227752685546875,
24.125,2.9304428100585938,
24.1875,2.9227752685546875,
24.25,2.8946762084960938,
24.3125,2.8716812133789062,
24.375,2.864013671875,
24.4375,2.8691253662109375,
24.5,2.8767852783203125,
24.5625,2.8870086669921875,
24.625,2.8997802734375,
24.6875,2.92022705078125,
24.75,2.9406661987304688,
24.8125,2.9483261108398438,
24.875,2.9534378051757812,
24.9375,2.9585494995117188,
25,2.9713211059570312,
25.0625,2.9815444946289062,
25.125,2.9943161010742188,
25.1875,3.001983642578125,
25.25,3.001983642578125,
25.3125,3.0070953369140625,
25.375,3.0096511840820312,
25.4375,2.9789886474609375,
25.5,2.9508819580078125,
25.5625,2.9304428100585938,
25.625,2.9227752685546875,
25.6875,2.9304428100585938,
25.75,2.9355545043945312,
25.8125,2.9432220458984375,
25.875,2.9508819580078125,
25.9375,2.966217041015625,
26,2.973876953125,
26.0625,2.9789886474609375,
26.125,2.984100341796875,
26.1875,2.9866561889648438,
26.25,2.99176025390625,
26.3125,2.9943161010742188,
26.375,2.9968719482421875,
26.4375,3.0045394897460938,
26.5,3.0096511840820312,
26.5625,3.001983642578125,
26.625,2.973876953125,
26.6875,2.945770263671875,
26.75,2.9253311157226562,
26.8125,2.9151153564453125,
26.875,2.9125595092773438,
26.9375,2.9176712036132812,
27,2.9329986572265625,
27.0625,2.9483261108398438,
27.125,2.95599365234375,
27.1875,2.966217041015625,
27.25,2.9789886474609375,
27.3125,2.9866561889648438,
27.375,2.9943161010742188,
27.4375,2.9994277954101562,
27.5,3.0096511840820312,
27.5625,3.019866943359375,
27.625,3.0326461791992188,
27.6875,3.058197021484375,
27.75,3.0965194702148438,
27.8125,3.1373977661132812,
27.875,3.1987152099609375,
27.9375,3.3826751708984375,
28,3.5794143676757812,
28.0625,3.7863693237304688,
28.125,4.0009918212890625,
28.1875,4.2334976196289062,
28.25,4.4608917236328125,
