Time,Data Set 1:Force(N),bpm
0,4.770042419,9.748171806
0.1,5.002548218,
0.2,5.281044006,
0.3,5.373023987,
0.4,5.495666504,
0.5,5.595306396,
0.6,5.643852234,
0.7,5.697509766,
0.8,5.77671051,
0.9,5.866142273,
1,5.919792175,
1.1,5.932571411,
1.2,5.889137268,
1.3,5.784378052,
1.4,5.613197327,
1.5,5.424125671,
1.6,5.255493164,
1.7,5.122634888,
1.8,5.020431519,
1.9,4.905456543,
2,4.803260803,
2.1,4.739387512,
2.2,4.690841675,
2.3,4.637184143,
2.4,4.616744995,
2.5,4.632072449,
2.6,4.64995575,
2.7,4.665290833,
2.8,4.678062439,
2.9,4.68572998,
3,4.678062439,
3.1,4.637184143,
3.2,4.616744995,
3.3,4.64995575,
3.4,4.724052429,
3.5,4.826255798,
3.6,4.925895691,
3.7,5.02809906,
3.8,5.143074036,
3.9,5.235054016,
4,5.31426239,
4.1,5.413902283,
4.2,5.528877258,
4.3,5.63874054,
4.4,5.728172302,
4.5,5.784378052,
4.6,5.761383057,
4.7,5.623413086,
4.8,5.467559814,
4.9,5.311706543,
5,5.212059021,
5.1,5.122634888,
5.2,5.022987366,
5.3,4.923347473,
5.4,4.826255798,
5.5,4.764930725,
5.6,4.711280823,
5.7,4.644851685,
5.8,4.624412537,
5.9,4.621856689,
6,4.629516602,
6.1,4.644851685,
6.2,4.657623291,
6.3,4.66784668,
6.4,4.688285828,
6.5,4.670402527,
6.6,4.637184143,
6.7,4.64995575,
6.8,4.706169128,
6.9,4.803260803,
7,4.920791626,
7.1,5.038322449,
7.2,5.178840637,
7.3,5.332145691,
7.4,5.411346436,
7.5,5.431785583,
7.6,5.480331421,
7.7,5.556983948,
7.8,5.620857239,
7.9,5.677070618,
8,5.740943909,
8.1,5.8227005,
8.2,5.894241333,
8.3,5.914680481,
8.4,5.868690491,
8.5,5.769050598,
8.6,5.659187317,
8.7,5.546760559,
8.8,5.434341431,
8.9,5.329589844,
9,5.252937317,
9.1,5.166069031,
9.2,5.053649902,
9.3,4.959114075,
9.4,4.874801636,
9.5,4.795593262,
9.6,4.724052429,
9.7,4.662734985,
9.8,4.634628296,
9.9,4.63973999,
10,4.619300842,17.27861786
10.1,4.578422546,
10.2,4.573310852,
10.3,4.586082458,
10.4,4.591194153,
10.5,4.596305847,
10.6,4.609077454,
10.7,4.66784668,
10.8,4.78792572,
10.9,4.90801239,
11,5.02809906,
11.1,5.14818573,
11.2,5.24016571,
11.3,5.334701538,
11.4,5.431785583,
11.5,5.533988953,
11.6,5.648963928,
11.7,5.715393066,
11.8,5.68473053,
11.9,5.608085632,
12,5.528877258,
12.1,5.457336426,
12.2,5.385795593,
12.3,5.306594849,
12.4,5.237609863,
12.5,5.163513184,
12.6,5.038322449,
12.7,4.913124084,
12.8,4.828811646,
12.9,4.744491577,
13,4.660179138,
13.1,4.601417542,
13.2,4.568199158,
13.3,4.555427551,
13.4,4.563087463,
13.5,4.563087463,
13.6,4.560531616,
13.7,4.575866699,
13.8,4.591194153,
13.9,4.59375,
14,4.603965759,
14.1,4.644851685,
14.2,4.721496582,
14.3,4.818588257,
14.4,4.892684937,
14.5,4.976997375,
14.6,5.081756592,
14.7,5.183952332,
14.8,5.293815613,
14.9,5.421569824,
15,5.585090637,
15.1,5.717948914,
15.2,5.756271362,
15.3,5.728172302,
15.4,5.679626465,
15.5,5.636192322,
15.6,5.590202332,
15.7,5.521217346,
15.8,5.429237366,
15.9,5.344917297,
16,5.275932312,
16.1,5.217170715,
16.2,5.112411499,
16.3,4.987220764,
16.4,4.90801239,
16.5,4.851806641,
16.6,4.800704956,
16.7,4.74193573,
16.8,4.672950745,
16.9,4.614189148,
17,4.583526611,
17.1,4.545204163,
17.2,4.486442566,
17.3,4.458335876,
17.4,4.47366333,
17.5,4.51965332,
17.6,4.598861694,
17.7,4.701057434,
17.8,4.828811646,
17.9,4.987220764,
18,5.150741577,
18.1,5.219726563,
18.2,5.199287415,
18.3,5.143074036,
18.4,5.063865662,
18.5,5.017875671,
18.6,5.033210754,
18.7,5.089416504,
18.8,5.127746582,
18.9,5.155845642,
19,5.189064026,
19.1,5.237609863,
19.2,5.283599854,
19.3,5.25038147,
19.4,5.189064026,
19.5,5.150741577,
19.6,5.153297424,
19.7,5.206947327,
19.8,5.275932312,
19.9,5.37046814,
20,5.459892273,18.13297462
20.1,5.556983948,
20.2,5.585090637,
20.3,5.406242371,
20.4,5.171180725,
20.5,5.022987366,
20.6,4.913124084,
20.7,4.81603241,
20.8,4.716392517,
20.9,4.603965759,
21,4.455780029,
21.1,4.282035828,
21.2,4.144065857,
21.3,4.105743408,
21.4,4.167060852,
21.5,4.20539093,
21.6,4.200279236,
21.7,4.197723389,
21.8,4.172172546,
21.9,4.126182556,
22,4.077636719,
22.1,3.998435974,
22.2,3.911567688,
22.3,3.886016846,
22.4,3.878349304,
22.5,3.847686768,
22.6,3.822135925,
22.7,3.811920166,
22.8,3.819587708,
22.9,3.842582703,
23,3.875793457,
23.1,3.9192276,
23.2,3.939666748,
23.3,3.939666748,
23.4,3.985656738,
23.5,4.090415955,
23.6,4.179840088,
23.7,4.256492615,
23.8,4.363800049,
23.9,4.481330872,
24,4.588638306,
24.1,4.693397522,
24.2,4.798149109,
24.3,4.887573242,
24.4,4.961669922,
24.5,5.035766602,
24.6,5.097084045,
24.7,5.171180725,
24.8,5.229942322,
24.9,5.245277405,
25,5.204391479,
25.1,5.150741577,
25.2,5.091972351,
25.3,5.015327454,
