Height,Position,Distance (m),Time,bpm,sensor-bpm,deviation,percent-error
1,Front,0.6,0.0,15.350876808166504,4.665901326281233,-10.684975481885271,-0.6960498488399683
1,Front,0.6,10.0,13.254786491394045,4.498011696889211,-8.756774794504834,-0.6606500074663865
1,Front,0.6,20.0,13.077593803405762,5.068226036338143,-8.00936776706762,-0.6124496514780694
1,Front,0.6,30.0,14.38356113433838,4.603927206201251,-9.77963392813713,-0.6799174305165545
1,Front,0.6,40.0,13.60544204711914,4.310899819914749,-9.294542227204392,-0.683148860214538
1,Front,0.6,50.0,13.846153259277344,4.793998897904026,-9.052154361373319,-0.6537667315872082
1,Front,0.6,60.0,8.797654151916504,4.6131318141611395,-4.184522337755364,-0.4756406952919145
1,Front,0.6,70.0,11.169024467468262,4.262442428022226,-6.906582039446036,-0.6183693177110199
1,Front,0.6,80.0,12.214983940124512,4.576409795629573,-7.638574144494939,-0.6253445916865509
1,Front,0.6,90.0,11.061946868896484,5.375567943202127,-5.686378925694357,-0.5140486564515219
1,Front,0.6,100.0,13.942679405212402,6.5056096852686744,-7.437069719943728,-0.5334031934466926
1,Front,0.6,110.0,13.595166206359863,5.752697065401997,-7.842469140957866,-0.5768571727566768
1,Front,0.6,120.0,13.264554023742676,4.836547302829417,-8.42800672091326,-0.6353780689367833
1,Front,0.6,130.0,13.574660301208496,4.927929162518659,-8.646731138689837,-0.636975876141818
1,Front,0.6,140.0,12.86633301,5.180581005626538,-7.685752004373462,-0.5973537291783079
1,Front,0.6,150.0,12.096774101257324,5.205390513082546,-6.8913835881747785,-0.569687714302154
1,Front,0.6,160.0,13.13485050201416,5.033642147167359,-8.1012083548468,-0.6167720259628782
1,Front,0.6,170.0,9.740260124206545,2.7665596255339016,-6.973700498672644,-0.7159665563080361
1,Front,0.6,180.0,7.371007442474365,3.0275899286410923,-4.343417513833273,-0.5892569703301285
1,Front,0.6,190.0,2.365930557250977,3.4278012923679704,1.0618707351169934,0.44881737203259364
1,Front,0.6,200.0,12.295082092285156,3.4778504195395654,-8.81723167274559,-0.7171348354215685
1,Front,0.6,210.0,9.375,3.792079105993331,-5.582920894006669,-0.5955115620273781
1,Front,0.6,220.0,12.072434425354004,4.402675092208057,-7.669759333145947,-0.6353117410220304
1,Front,0.6,230.0,5.305039882659912,7.512690212333308,2.2076503296733963,0.41614207970223493
1,Front,0.6,240.0,8.771929740905762,8.098922942955305,-0.6730067979504568,-0.07672277569803748
1,Front,0.6,250.0,12.510425567626951,6.86950523055498,-5.640920337071972,-0.450897557927118
1,Front,0.6,260.0,13.06240940093994,5.450644091057459,-7.611765309882481,-0.582722917055008
1,Front,0.6,270.0,13.53383445739746,4.791036489623092,-8.742797967774367,-0.6459956337795782
1,Front,0.6,280.0,13.61573314666748,4.7128894252799,-8.90284372138758,-0.6538644394309825
1,Front,0.6,290.0,13.803681373596191,22.615813933797877,8.812132560201686,0.6383900295654182
1,Front,0.6,300.0,12.853470802307127,10.195961784484272,-2.6575090178228553,-0.20675419571076842
2,Front,0.6,0.0,12.084591865539553,7.887063836539824,-4.197528028999729,-0.34734545243264764
2,Front,0.6,10.0,10.877447128295898,5.497894806420554,-5.3795523218753445,-0.4945601903116881
2,Front,0.6,20.0,8.664259910583496,5.488637275855141,-3.175622634728355,-0.3665197798197737
2,Front,0.6,30.0,12.106537818908691,5.439899398387354,-6.666638420521338,-0.5506643204062021
2,Front,0.6,40.0,11.820330619812012,5.05574875520458,-6.764581864607432,-0.5722836426647273
2,Front,0.6,50.0,12.569831848144531,4.674816143150395,-7.895015704994136,-0.6280923882175513
2,Front,0.6,60.0,12.214983940124512,4.769909960885897,-7.4450739792386145,-0.6095033784516564
2,Front,0.6,70.0,12.032085418701172,5.301755043474121,-6.730330375227051,-0.5593652422684986
2,Front,0.6,80.0,11.160714149475098,6.277542030018742,-4.883172119456356,-0.43753222724425905
2,Front,0.6,90.0,11.41769790649414,5.775795556938687,-5.641902349555454,-0.494136593537517
2,Front,0.6,100.0,10.416666984558104,4.636845339382354,-5.779821645175749,-0.5548628610038013
2,Front,0.6,110.0,9.24499225616455,5.5832642438609215,-3.6617280123036293,-0.3960769150306203
2,Front,0.6,120.0,6.777108192443848,6.751420645506739,-0.025687546937108507,-0.0037903403941151326
2,Front,0.6,130.0,9.531373977661133,8.325671691260036,-1.2057022864010971,-0.1264982665906222
2,Front,0.6,140.0,10.118043899536133,6.947353841788524,-3.170690057747609,-0.3133698656805562
2,Front,0.6,150.0,9.677419662475586,5.793069304266633,-3.8843503582089527,-0.401382857588641
2,Front,0.6,160.0,9.259259223937987,4.611336323515255,-4.647922900422731,-0.5019756751605403
2,Front,0.6,170.0,8.982035636901854,2.740192636198365,-6.241843000703488,-0.6949252099445542
2,Front,0.6,180.0,9.132420539855955,3.47899630358488,-5.653424236271075,-0.6190499234675242
2,Front,0.6,190.0,10.033444404602053,2.1014551748121235,-7.931989229789929,-0.7905549589881371
2,Front,0.6,200.0,9.900989532470703,2.582195373055927,-7.318794159414776,-0.7391982523981556
2,Front,0.6,210.0,10.169490814208984,4.780051213279586,-5.389439600929398,-0.5299615978215135
2,Front,0.6,220.0,10.591350555419922,5.003178338497137,-5.588172216922785,-0.5276165855980609
2,Front,0.6,230.0,10.86169434,4.838247557012588,-6.023446782987412,-0.5545586714593013
2,Front,0.6,240.0,6.982156753540039,4.602673813499378,-2.3794829400406607,-0.34079483231799884
2,Front,0.6,250.0,7.620660781860351,4.2693626582281965,-3.351298123632154,-0.439764768379316
2,Front,0.6,260.0,8.093525886535645,3.6640712648669256,-4.429454621668719,-0.5472836788027751
2,Front,0.6,270.0,8.7890625,3.3459249882202884,-5.443137511779712,-0.6193080902291583
2,Front,0.6,280.0,7.772020339965821,3.827531270761287,-3.944489069204534,-0.5075242854063196
2,Front,0.6,290.0,8.51667881011963,3.530979318281867,-4.985699491837764,-0.5854041936997424
2,Front,0.6,300.0,10.526315689086914,2.263894289062446,-8.262421400024468,-0.7849300404880007
3,Front,0.6,0.0,11.55327320098877,3.761205338587106,-7.792067862401664,-0.6744467759781524
3,Front,0.6,10.0,9.787928581237791,4.429399457885424,-5.358529123352367,-0.5474630386682615
3,Front,0.6,20.0,10.739856719970703,7.432842935563581,-3.307013784407122,-0.3079197302751487
3,Front,0.6,30.0,7.142857074737549,7.355311891618283,0.21245481688073387,0.029743674646960528
3,Front,0.6,40.0,8.327549934387207,8.463330891476396,0.1357809570891888,0.016305030670366122
3,Front,0.6,50.0,9.605122566223145,11.288430771464869,1.6833082052417243,0.17525109061712082
3,Front,0.6,60.0,9.795918464660643,11.290555894779498,1.4946374301188552,0.15257756947557785
3,Front,0.6,70.0,9.554140090942385,11.436025041600436,1.8818849506580513,0.19697062558692596
3,Front,0.6,80.0,7.252215862274171,11.2088165828654,3.9566007205912284,0.5455712841055046
3,Front,0.6,90.0,9.44386100769043,11.472199350292538,2.028338342602108,0.2147785043585848
3,Front,0.6,100.0,9.523809432983398,10.46810980385884,0.9443003708754407,0.09915153988750404
3,Front,0.6,110.0,7.594936370849609,11.954968492808588,4.360032121958978,0.5740709216068445
3,Front,0.6,120.0,10.087424278259276,12.076967652517668,1.9895433742583926,0.19723006779305566
3,Front,0.6,130.0,9.554140090942385,10.854268040942374,1.3001279499999896,0.13608005928576977
3,Front,0.6,140.0,9.942005157470703,11.139373222728132,1.1973680652574288,0.12043526897164127
3,Front,0.6,150.0,10.212765693664553,12.088819402286164,1.8760537086216118,0.18369693038051524
3,Front,0.6,160.0,9.975062370300291,10.484661234816947,0.509598864516656,0.05108728603381304
3,Front,0.6,170.0,9.787928581237791,9.68157666907848,-0.10635191215931172,-0.010865619959995902
3,Front,0.6,180.0,10.489510536193848,12.1717503557783,1.6822398195844528,0.16037352875331196
3,Front,0.6,190.0,9.950248718261719,12.254244466824693,2.303995748562974,0.23155157361387801
3,Front,0.6,200.0,10.389610290527344,6.801373073221447,-3.588237217305897,-0.34536783545937694
3,Front,0.6,210.0,9.097801208496092,12.530048528806457,3.432247320310365,0.37726119110023193
3,Front,0.6,220.0,9.397024154663086,13.854380468669818,4.4573563140067325,0.47433700718911725
3,Front,0.6,230.0,11.029411315917969,12.430886424428639,1.4014751085106703,0.12706708167534023
3,Front,0.6,240.0,10.928961753845217,12.66347062411577,1.7345088702705542,0.15870756155407803
3,Front,0.6,250.0,10.118043899536133,12.49076658744828,2.3727226879121464,0.23450409105468747
