Height,Position,Distance (m),Time,bpm,sensor-bpm,deviation,percent-error
1,Front,0.6,0.0,11.06194687,2.6696168895908094,-8.39232998040919,-0.7586666324685747
1,Front,0.6,10.0,8.737864494,2.1150295658328133,-6.622834928167187,-0.7579466278877255
1,Front,0.6,20.0,11.58301163,3.678861516470671,-7.904150113529329,-0.6823916236997967
1,Front,0.6,30.0,8.522727966,6.590026014669598,-1.9327019513304018,-0.22677034384302697
1,Front,0.6,40.0,10.87744713,6.534931584307469,-4.342515545692531,-0.3992219400189841
1,Front,0.6,50.0,10.59135056,8.839978128355984,-1.7513724316440165,-0.16535874454560745
1,Front,0.6,60.0,10.97895718,10.721396442054704,-0.25756073794529577,-0.02345949016127739
1,Front,0.6,70.0,11.11111164,10.98566689239066,-0.12544474760934143,-0.011290026747435455
1,Front,0.6,80.0,11.29518032,8.440751480662184,-2.8544288393378157,-0.2527121089234471
1,Front,0.6,90.0,11.81102371,4.823318585649807,-6.987705124350193,-0.591625696122677
1,Front,0.6,100.0,11.68224335,10.039124635642287,-1.6431187143577137,-0.14065095762259683
1,Front,0.6,110.0,11.23595524,5.999887922821376,-5.236067317178623,-0.46600998360497414
1,Front,0.6,120.0,11.26126099,5.6478666399933655,-5.613394350006635,-0.4984694302877208
1,Front,0.6,130.0,11.68224335,9.961480238116593,-1.7207631118834072,-0.14729731784635416
1,Front,0.6,140.0,11.21076202,9.893752730300372,-1.3170092896996284,-0.11747723190895352
1,Front,0.6,150.0,10.72961426,5.970878895978109,-4.758735364021891,-0.44351411418045616
1,Front,0.6,160.0,10.06036186,6.350960468293384,-3.709401391706616,-0.3687145098085583
1,Front,0.6,170.0,9.732359886,7.2592416243900235,-2.473118261609976,-0.2541129068981056
1,Front,0.6,180.0,10.84990883,2.749664616094802,-8.1002442139052,-0.746572560269633
1,Front,0.6,190.0,12.72984505,6.605499276863234,-6.124345773136766,-0.48110136054929953
1,Front,0.6,200.0,13.0813961,12.450934928862932,-0.6304611711370676,-0.04819525120388852
1,Front,0.6,210.0,12.72984505,7.350886394253683,-5.378958655746317,-0.42254706436873063
1,Front,0.6,220.0,12.4895916,7.64254357955188,-4.8470480204481206,-0.3880869908066586
1,Front,0.6,230.0,12.65822792,12.764955663668777,0.10672774366877746,0.008431491701942547
1,Front,0.6,240.0,13.84615326,12.86840958895365,-0.9777436710463494,-0.07061482367604166
1,Front,0.6,250.0,12.5,11.401814875106048,-1.098185124893952,-0.08785480999151617
1,Front,0.6,260.0,10.77586269,10.227513132853526,-0.5483495571464747,-0.05088683597048272
1,Front,0.6,270.0,10.71428585,10.862722395321308,0.14843654532130834,0.013854077387837133
1,Front,0.6,280.0,11.16902447,11.666260813844639,0.497236343844639,0.04451922772487569
1,Front,0.6,290.0,12.00800514,11.410731571130315,-0.5972735688696851,-0.04973961635643379
1,Front,0.6,300.0,12.24489784,12.029282243446962,-0.21561559655303775,-0.01760860722322186
2,Front,0.6,0.0,12.32538986,9.822136999560822,-2.5032528604391775,-0.2030972560602783
2,Front,0.6,10.0,11.44164753,4.6449330807022315,-6.796714449297768,-0.59403284636035
2,Front,0.6,20.0,8.817046165,4.89591495860573,-3.9211312063942705,-0.4447216372711677
2,Front,0.6,30.0,10.69518661,7.659323643503516,-3.0358629664964845,-0.2838532021178529
2,Front,0.6,40.0,10.91703033,5.513168306254682,-5.403862023745317,-0.49499377215207546
2,Front,0.6,50.0,12.0967741,7.096348036353651,-5.000426063646349,-0.4133685577914817
2,Front,0.6,60.0,12.00800514,8.26626526309559,-3.7417398769044095,-0.3116037870803584
2,Front,0.6,70.0,13.61573315,5.978249247993447,-7.6374839020065535,-0.5609307863092596
2,Front,0.6,80.0,12.58741283,7.5829681203554005,-5.004444709644599,-0.39757532204849433
2,Front,0.6,90.0,12.79317665,6.96029979353483,-5.83287685646517,-0.4559365524328291
2,Front,0.6,100.0,9.478672981,8.905071965625623,-0.5736010153743774,-0.060514907152526574
2,Front,0.6,110.0,9.022556305,6.538682178463106,-2.483874126536894,-0.2752960516478477
2,Front,0.6,120.0,11.22544384,5.6396485350908785,-5.585795304909122,-0.49760128726537034
2,Front,0.6,130.0,7.926023483,3.7179843155186827,-4.208039167481317,-0.5309142947288588
2,Front,0.6,140.0,8.612440109,7.3226836256679855,-1.289756483332014,-0.14975505977501297
2,Front,0.6,150.0,7.992895126,6.371013189607873,-1.6218819363921266,-0.20291545313991735
2,Front,0.6,160.0,9.942005157,4.052242319542483,-5.889762837457518,-0.5924119676512775
2,Front,0.6,170.0,6.204756737,4.526463454025161,-1.6782932829748392,-0.2704849447145762
2,Front,0.6,180.0,8.097166061,8.126259021609057,0.029092960609057528,0.003592980604557905
2,Front,0.6,190.0,7.614213467,8.320825597235642,0.7066121302356416,0.09280172315868192
2,Front,0.6,200.0,9.516257286,9.304725834425922,-0.2115314515740785,-0.02222842922556082
2,Front,0.6,210.0,10.00667095,9.94765051689272,-0.05902043310728011,-0.005898108711896848
2,Front,0.6,220.0,9.677419662,9.11486018345752,-0.5625594785424806,-0.0581311442709738
2,Front,0.6,230.0,9.811938286,9.203846907617265,-0.6080913783827349,-0.061974643608427485
2,Front,0.6,240.0,10.3591156,9.963726405237683,-0.39538919476231804,-0.03816823848961759
2,Front,0.6,250.0,11.21076202,10.83993481841227,-0.37082720158772986,-0.03307778730171723
2,Front,0.6,260.0,11.72791195,11.402902193638669,-0.32500975636133056,-0.027712499697043733
2,Front,0.6,270.0,12.44813251,12.908682134620916,0.4605496246209153,0.03699748731393568
2,Front,0.6,280.0,12.31190205,12.676802514700404,0.36490046470040305,0.029638025320417736
2,Front,0.6,290.0,11.96172237,10.03898517338012,-1.922737196619881,-0.16074083122361257
2,Front,0.6,300.0,10.68566418,10.72699581878463,0.04133163878463009,0.0038679522478339843
3,Front,0.6,0.0,12.94498444,7.971336914202569,-4.973647525797432,-0.3842142529294096
3,Front,0.6,10.0,12.10653782,6.122467477469359,-5.984070342530641,-0.49428419846382154
3,Front,0.6,20.0,8.810572624,8.425757550872168,-0.38481507312783236,-0.04367651111343161
3,Front,0.6,30.0,10.98096657,11.542747889397097,0.5617813193970971,0.051159551011828376
3,Front,0.6,40.0,11.28668213,6.337617689805178,-4.949064440194823,-0.4384870933008922
3,Front,0.6,50.0,11.33786774,5.35654210379087,-5.98132563620913,-0.5275529555797349
3,Front,0.6,60.0,11.59196281,7.494096892646885,-4.097865917353115,-0.35350923605603896
3,Front,0.6,70.0,12.04013348,3.5958640906033916,-8.444269389396608,-0.7013435028293895
3,Front,0.6,80.0,12.35415268,9.961801367311445,-2.3923513126885556,-0.19364754302911494
3,Front,0.6,90.0,13.22556973,8.618739037557361,-4.606830692442639,-0.34832757956678506
3,Front,0.6,100.0,13.36302853,5.44969600272493,-7.913332527275069,-0.5921810695464458
3,Front,0.6,110.0,12.94033051,11.121592653252984,-1.818737856747017,-0.14054802196447275
3,Front,0.6,120.0,11.70046806,9.614521162661996,-2.0859468973380046,-0.17827892753018673
3,Front,0.6,130.0,12.31527138,7.489513998992955,-4.825757381007046,-0.39185148520917495
3,Front,0.6,140.0,13.52366638,4.023581222798084,-9.500085157201916,-0.7024785210060702
3,Front,0.6,150.0,13.91035557,9.68857636971473,-4.221779200285271,-0.30349901402881757
3,Front,0.6,160.0,13.3928566,12.116023769949336,-1.2768328300506635,-0.09533685517477007
3,Front,0.6,170.0,12.91248226,13.00688159918374,0.09439933918373988,0.00731070426916814
3,Front,0.6,180.0,12.24489784,7.676023732275037,-4.568874107724963,-0.37312472242928596
3,Front,0.6,190.0,12.13592243,10.054656701301258,-2.0812657286987424,-0.17149629463301885
3,Front,0.6,200.0,12.61387539,8.72437031003298,-3.889505079967021,-0.30835131628544027
3,Front,0.6,210.0,11.74628067,7.566724359994862,-4.179556310005139,-0.3558195506667676
3,Front,0.6,220.0,11.10288715,5.440453185668132,-5.662433964331869,-0.509996534039515
3,Front,0.6,230.0,14.00933933,8.314980471114897,-5.694358858885103,-0.4064687652108647
3,Front,0.6,240.0,11.44164753,11.977209853278275,0.5355623232782758,0.0468081473296596
3,Front,0.6,250.0,12.98701286,13.690277265343724,0.7032644053437238,0.05415135974106703
3,Front,0.6,260.0,12.98701286,11.656615258392048,-1.3303976016079524,-0.10244061632568156
3,Front,0.6,270.0,11.89532185,11.98166237909943,0.08634052909942902,0.007258360066939174
3,Front,0.6,280.0,12.8534708,13.789702645730221,0.9362318457302212,0.0728388355408425
3,Front,0.6,290.0,13.92111397,14.875166258966292,0.9540522889662917,0.06853275470786852
3,Front,0.6,300.0,14.35406685,14.395867835830462,0.0418009858304611,0.0029121353737084693
