"","time","breathingBeltRespiration","sensorRespiration"
"1",0,9.4,8.42216824025971
"2",10,9.7,8.06321962063543
"3",20,9.2,9.62123874625443
"4",30,9.4,8.78494121494005
"5",40,8.5,8.55648356189507
"6",50,8.4,5.08004897061592
"7",60,8.3,3.59797270285246
"8",70,8.2,7.38065682050331
"9",80,7.9,8.45235864985029
"10",90,7.4,6.31635497476378
"11",100,5.1,4.474034696929
"12",110,5.2,6.82888518504643
"13",120,5.6,4.71715198197192
"14",130,5.6,5.72387723807923
"15",140,5.6,6.87741612095538
"16",150,5.8,5.79431363934327
"17",160,5.1,6.35116216363629
"18",170,4.8,3.97802842530956
"19",180,5.6,5.76712707452226
"20",190,5.1,6.2028976862824
"21",200,5.6,7.00468018652597
"22",210,5,5.44711684914407
"23",220,3.8,5.01072129327835
"24",230,4.1,4.38937037087701
"25",240,4.1,4.9547985625975
"26",250,4.1,4.51939894692541
"27",260,2.7,3.36233387423037
"28",280,4.6,4.11231388037863
"29",290,4.7,4.42708264585282
"30",300,4.6,4.49490895348898
