"","time","breathingBeltRespiration","sensorRespiration"
"1",0,11.8,4.42928793942158
"2",10,11,4.2095965417545
"3",20,8.7,4.08956198189053
"4",30,6.6,3.76348660210144
"5",50,11.7,3.95069992531908
"6",60,5.2,5.19554759697346
"7",70,2.8,2.37406181791126
"8",80,9.5,4.85536080973218
"9",90,8.9,3.26681529287741
"10",100,8.5,4.59836187662291
"11",110,7.1,4.46496838696689
"12",120,5.7,3.19547809617044
"13",130,3.8,3.74687094695171
"14",140,4.7,5.79367793752837
"15",150,5.8,4.05931370634734
"16",160,8.9,4.14069924382163
"17",170,13.7,3.70448534546247
"18",190,10.8,5.0332129366927
"19",200,9.7,3.81858055908381
"20",210,13.8,4.97921684610239
"21",220,8.6,7.08092279423163
"22",230,4.4,4.58065656522145
"23",240,9.2,4.86481111623911
"24",250,12.4,7.23090238373393
"25",260,10.5,6.47867350253947
"26",270,13.1,2.38460298239196
"27",280,8.3,7.73356428376218
"28",290,7.3,8.06754217093576
"29",300,8.9,8.02720749646854
