"","time","breathingBeltRespiration","sensorRespiration"
"1",10,11.346444,3.20317473413733
"2",20,10.849909,4.44368834717294
"3",30,7.103394,3.5457383527879
"4",40,5.876591,8.41175920710242
"5",50,10.344828,5.42038681928178
"6",60,5.208333,4.51241646083948
"7",70,5.263158,5.33979222430481
"8",80,10.791367,8.42300920521409
"9",100,10.327023,4.78964255739167
"10",110,8.87574,4.64495813332899
"11",120,9.574468,7.4726773026647
"12",130,7.275667,4.42944419519571
"13",140,6.237006,7.14938101506115
"14",150,7.419621,4.41100203817795
"15",160,8.752735,7.93429864888884
"16",170,9.860312,7.862429896655
"17",180,9.056603,7.65793629864137
"18",190,9.523809,3.60083153486719
"19",200,9.070294,5.45281012554302
"20",210,9.353079,4.74015963043227
"21",220,9.188361,6.53624343025041
"22",230,9.724474,6.39984128375528
"23",240,9.779951,4.72838496049246
"24",250,9.027081,7.04484539167098
"25",260,7.607777,6.71340114048227
"26",270,8.05009,3.88101739067088
"27",280,7.275667,4.51674804766254
"28",290,5.444646,2.82522739341078
"29",300,4.155125,5.8332793853586
"30",310,4.43787,4.06520239726315
"31",320,4.360465,4.15837315166771
"32",330,5.037783,7.44414667010802
"33",340,7.425743,5.49734721418634
"34",350,8.522727,4.8803804377233
"35",360,8.108108,6.65731068764733
"36",370,7.839721,5.17567398131579
"37",380,7.929515,5.21349796650174
"38",390,7.058823,4.34367231907214
"39",400,6.891271,3.2858321718665
"40",420,7.2,5.6462135019289
"41",430,6.823351,5.20386274536953
"42",440,7.014809,4.96704893780597
"43",450,8.115419,5.81006758149909
"44",460,8.5796,5.92739253084721
"45",470,8.372093,6.39531326497271
"46",480,7.725322,6.60826889709979
"47",490,8.514664,2.63162125915939
"48",500,9.561753,2.95387976745864
"49",510,8.226691,4.57396928057644
"50",520,6.289309,4.35805885055408
"51",530,4.780877,3.45680429906618
"52",540,8.832189,9.28663945361711
"53",550,8.474576,5.47455136318383
"54",560,9.360374,7.64523053511385
"55",570,10.230179,3.53059661450667
"56",580,9.860312,3.22692773072707
"57",590,9.38233,6.24788121329239
"58",600,9.561753,3.69345481714207
