"","time","breathingBeltRespiration","sensorRespiration"
"1",0,10.948905,8.56307720502619
"2",10,11.346444,8.42300920521409
"3",20,10.849909,5.03324185077834
"4",30,7.103394,4.546043264005
"5",40,5.876591,4.64495813332899
"6",50,10.344828,7.4726773026647
"7",60,5.208333,5.44078102428455
"8",70,5.263158,7.88792323099743
"9",80,10.791367,4.41100203817795
"10",90,11.594203,7.93429864888884
"11",100,10.327023,8.71770971605344
"12",110,8.87574,5.79462216126247
"13",120,9.574468,3.60083153486719
"14",130,7.275667,5.45281012554302
"15",140,6.237006,4.49956545359701
"16",150,7.419621,7.47731617925527
"17",160,8.752735,5.88732889089287
"18",170,9.860312,4.72838496049246
"19",180,9.056603,7.14145651762092
"20",190,9.523809,5.72408504493385
"21",200,9.070294,3.77289081914658
"22",210,9.353079,4.51674804766254
"23",220,9.188361,5.90630899178725
"24",230,9.724474,4.6614546632568
"25",240,9.779951,4.15627305036769
"26",250,9.027081,4.15837315166771
"27",260,7.607777,6.72352600737758
"28",270,8.05009,4.57326300082166
"29",290,5.444646,6.65731068764733
"30",300,4.155125,5.61437948339021
"31",310,4.43787,4.15032744580775
"32",320,4.360465,4.48790680873429
"33",330,5.037783,3.2858321718665
"34",340,7.425743,4.46013398411795
"35",350,8.522727,5.90362308243534
"36",360,8.108108,4.91291020177134
"37",370,7.839721,4.96704893780597
"38",380,7.929515,5.85854315937346
"39",390,7.058823,7.34444186331115
"40",400,6.891271,5.69799429476488
"41",410,7.29927,6.60826889709979
"42",420,7.2,2.83963518422881
"43",430,6.823351,3.72595428020672
"44",440,7.014809,5.0830934474593
"45",450,8.115419,4.35805885055408
"46",460,8.5796,3.45680429906618
"47",470,8.372093,6.97344837284101
"48",480,7.725322,4.61296210027109
"49",490,8.514664,7.64523053511385
"50",500,9.561753,3.53059661450667
"51",510,8.226691,4.86059291968369
"52",520,6.289309,4.05288705473811
"53",530,4.780877,3.69345481714207
"54",540,8.832189,3.3999044254002
