"","time","breathingBeltRespiration","sensorRespiration"
"1",0,10.948905,6.1626569626282
"2",10,11.346444,3.20317473413733
"3",20,10.849909,4.44368834717294
"4",30,7.103394,3.5457383527879
"5",40,5.876591,8.41175920710242
"6",50,10.344828,5.42038681928178
"7",60,5.208333,4.51241646083948
"8",70,5.263158,5.33979222430481
"9",80,10.791367,8.42300920521409
"10",100,10.327023,4.78964255739167
"11",110,8.87574,4.64495813332899
"12",120,9.574468,5.74559832093995
"13",130,7.275667,6.16269819303497
"14",140,6.237006,7.14938101506115
"15",150,7.419621,4.41100203817795
"16",160,8.752735,7.93429864888884
"17",170,9.860312,7.862429896655
"18",180,9.056603,7.65793629864137
"19",190,9.523809,3.60083153486719
"20",200,9.070294,3.87910946956496
"21",210,9.353079,5.37789129275431
"22",220,9.188361,6.53624343025041
"23",230,9.724474,6.39984128375528
"24",240,9.779951,4.72838496049246
"25",250,9.027081,7.04484539167098
"26",260,7.607777,6.71340114048227
"27",270,8.05009,3.88101739067088
"28",280,7.275667,4.51674804766254
"29",290,5.444646,2.82522739341078
"30",300,4.155125,5.8332793853586
"31",310,4.43787,4.06520239726315
"32",320,4.360465,4.15837315166771
"33",330,5.037783,7.44414667010802
"34",340,7.425743,5.49734721418634
"35",350,8.522727,4.8803804377233
"36",360,8.108108,6.65731068764733
"37",370,7.839721,5.17567398131579
"38",380,7.929515,5.21349796650174
"39",390,7.058823,4.34367231907214
"40",400,6.891271,3.2858321718665
"41",420,7.2,5.6462135019289
"42",430,6.823351,5.20386274536953
"43",440,7.014809,4.96704893780597
"44",450,8.115419,5.81006758149909
"45",460,8.5796,5.92739253084721
"46",470,8.372093,6.39531326497271
"47",480,7.725322,6.60826889709979
"48",490,8.514664,2.63162125915939
"49",500,9.561753,2.95387976745864
"50",510,8.226691,4.57396928057644
"51",520,6.289309,4.35805885055408
"52",530,4.780877,3.28886922489639
"53",540,8.832189,6.92247321347732
"54",550,8.474576,5.47455136318383
"55",560,9.360374,7.64523053511385
"56",570,10.230179,3.85940801985773
"57",580,9.860312,3.08815428920805
"58",590,9.38233,6.24788121329239
"59",600,9.561753,3.69345481714207
