"","time","breathingBeltRespiration","sensorRespiration"
"1",0,8.9,3.3367947231081
"2",10,8.3,3.29639721195596
"3",20,6.5,4.70604214741281
"4",30,8.8,4.48965362939054
"5",40,8.3,5.87113450145417
"6",50,8.6,4.49100110214976
"7",60,8.5,4.4173954816148
"8",70,8.6,8.877563336072
"9",80,8,5.33410196382962
"10",90,8.4,8.71982859906992
"11",100,8.8,7.38359208222094
"12",110,8.3,3.78520001478229
"13",130,8.5,6.72421323314999
"14",140,8.5,7.52513937939027
"15",150,8.1,8.07622438921298
"16",160,7.6,7.90084765398894
"17",170,7.1,6.43875504254241
"18",180,7.3,7.18049385003818
"19",190,7.4,6.14864426093585
"20",200,7.1,6.9101828568293
"21",210,7.8,7.39440421989644
"22",220,6.6,7.46446193743643
"23",230,6.8,4.37963030312022
"24",240,9.3,4.8111202399769
"25",260,8.4,8.5163754872634
"26",270,7.6,3.80683711926063
"27",280,7.5,8.56222583869802
"28",290,8.1,3.68602290637735
"29",300,7.9,4.77594028797204
"30",310,6.7,5.38826693262779
"31",320,6.5,6.55137155047603
"32",330,8.6,8.07189007377178
"33",340,9.3,6.50413684302608
"34",350,8.4,4.54632661347249
"35",360,6.8,4.84886791217647
"36",370,5.4,3.21306050005351
"37",390,8.6,6.11606665674987
"38",400,7.6,5.19851149437986
"39",410,6.5,7.47385960359514
"40",420,6.1,6.15540300748596
"41",430,5.9,6.93925078432539
"42",440,5.6,4.13166614340641
"43",450,6.8,5.13225135050072
"44",460,7.7,5.82874302874302
"45",470,7.1,4.32246973988659
"46",490,8.1,4.93656003324301
"47",530,8.6,4.11323664223109
"48",540,9.5,4.73613461603552
"49",550,10.9,7.05993322326927
"50",560,9.4,6.85531316199183
"51",570,9.4,9.63068238447989
"52",580,7.1,3.73211493541678
"53",590,5.2,4.25110138595628
"54",600,3.2,4.96558822344581
