"","time","breathingBeltRespiration","sensorRespiration"
"1",0,11.8,10.3704542236021
"2",10,8.2,8.84036809404207
"3",20,9.5,7.0150072146486
"4",30,8.6,4.78524783608286
"5",40,8.5,8.54912537677743
"6",50,9,10.4170888536006
"7",60,8.8,8.14981237634681
"8",70,9.4,8.14974045110133
"9",80,10.5,7.68743173999605
"10",90,9.2,7.50595510699874
"11",110,3.6,6.88386465458257
"12",120,6.7,6.65131651209903
"13",160,2.7,4.55291763172729
"14",170,4.3,5.74023392230326
"15",180,4.8,5.84198062183629
"16",190,5.7,5.59034502773681
"17",200,5.7,4.82518680134937
"18",210,5.5,4.90290963823448
"19",220,4.2,5.63778870767507
"20",230,3.5,4.97681864723216
"21",240,4.1,3.58265318307525
"22",250,4.5,4.5412336266153
"23",260,4.9,5.42894509139586
"24",270,3,5.22450380549274
"25",280,3.4,4.57214649244567
"26",290,3.1,5.14083483165168
"27",300,4,7.77897424773622
